"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"186",184,"Jannes Horn","GER","WB","Koeln",23,1997,17,13,1145,12.7,0,0,0,4,0,0,0,1,4.11
"187",185,"Timo Horn","GER","GK","Koeln",27,1993,19,19,1659,18.4,0,0,0,0,0,0,0,0,3.08
"188",186,"Lukáš Hrádecký","FIN","GK","Leverkusen",31,1989,19,19,1710,19,0,0,0,1,0,0,0,0,2.89
"189",187,"Ajdin Hrustic","AUS","AM","Eintracht",24,1996,5,0,81,0.9,0,0,0,0,0,0,0,0.3,NA
"190",188,"Florian Hübner","GER","CB","Union",29,1991,5,5,435,4.8,0,0,0,2,0,0.1,0.1,0,NA
"191",189,"Mats Hummels","GER","CB","Dortmund",32,1988,19,19,1699,18.9,3,0,0,3,0,2.4,2.4,0.6,3.08
"192",190,"Klaas-Jan Huntelaar","NED","FW","Schalke",37,1983,1,0,11,0.1,0,0,0,1,0,0,0,0,NA
"193",191,"Iago","BRA","FB","Augsburg",23,1997,14,14,1208,13.4,1,1,0,2,0,0.8,0.8,0.8,3.57
"194",192,"Vedad Ibiševiæ","BIH","FW","Schalke",36,1984,4,1,156,1.7,0,0,0,1,0,0.5,0.5,0,NA
"195",193,"Stefan Ilsanker","AUT","DM","Eintracht",31,1989,15,9,828,9.2,1,0,0,3,0,0.5,0.5,0.1,NA
"196",194,"Marcus Ingvartsen","DEN","AM","Union",25,1996,15,13,1068,11.9,2,4,0,3,0,2.4,1.6,1,3.79
"197",195,"Ismail Jakobs","GER","WB","Koeln",21,1999,13,11,1005,11.2,0,0,0,3,0,1.6,1.6,0.8,4
"198",196,"Tony Jantschke","GER","CB","Moenchengladbach",30,1990,5,2,166,1.8,0,0,0,0,0,0.2,0.2,0,NA
"199",197,"Rune Jarstein","NOR","GK","Hertha",36,1984,1,1,90,1,0,0,0,0,0,0,0,0,NA
"200",198,"Tin Jedvaj","CRO","CB","Leverkusen",25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,NA
"201",199,"Fredrik Jensen","FIN","W","Augsburg",23,1997,8,1,235,2.6,0,0,0,0,0,0.1,0.1,0.5,NA
"202",200,"Marco John","GER","WB","Hoffenheim",18,2002,5,5,450,5,0,0,0,1,0,0.2,0.2,0.1,NA
"203",201,"Luka Joviæ","SRB","FW","Eintracht",23,1997,4,0,109,1.2,3,0,0,1,0,0.6,0.6,0.3,NA
"204",202,"Ozan Kabak","TUR","CB","Schalke",20,2000,14,14,1243,13.8,0,0,0,6,1,1,1,0.2,4.75
"205",203,"Pavel Kadeøábek","CZE","WB","Hoffenheim",28,1992,5,3,319,3.5,0,0,0,1,0,0.8,0.8,0.5,NA
"206",204,"Sasa Kalajdzic","AUT","FW","Stuttgart",23,1997,18,9,873,9.7,6,3,0,1,0,3.5,3.5,2.1,3.29
"207",205,"Daichi Kamada","JPN","AM","Eintracht",24,1996,18,15,1275,14.2,2,6,0,2,0,3,3,5.3,3.41
"208",206,"Marcin Kamiñski","POL","CB","Stuttgart",29,1992,3,1,123,1.4,0,0,0,0,0,0,0,0,NA
"209",207,"Kevin Kampl","SVN","CM","Leipzig",30,1990,16,15,1126,12.5,0,0,0,4,0,0.9,0.9,1.2,3.4
"210",208,"Atakan Karazor","GER","CB","Stuttgart",24,1996,7,4,389,4.3,0,0,0,1,0,0.1,0.1,0,NA
"211",209,"Loris Karius","GER","GK","Union",27,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,NA
"212",210,"Noah Katterbach","GER","FB","Koeln",19,2001,11,6,573,6.4,0,0,0,0,0,0.1,0.1,0.4,NA
"213",211,"Yannik Keitel","GER","CM","Freiburg",20,2000,3,0,66,0.7,0,0,0,1,0,0.1,0.1,0,NA
"214",212,"Marc-Oliver Kempf","GER","CB","Stuttgart",26,1995,19,19,1634,18.2,2,0,0,2,0,1.1,1.1,0.4,3.32
"215",213,"Rani Khedira","GER","CM","Augsburg",27,1994,16,13,1001,11.1,0,0,0,4,0,0.6,0.6,0.1,3.96
"216",214,"Luca Kilian","GER","CB","Mainz",21,1999,6,4,381,4.2,0,0,0,1,0,0,0,0,NA
"217",215,"Joshua Kimmich","GER","CM","Bayern",25,1995,13,12,1007,11.2,2,10,0,3,0,1.7,1.7,4.4,2.54
"218",216,"Davy Klaassen","NED","CM","Werder",27,1993,3,3,222,2.5,0,0,0,1,0,0.1,0.1,0,NA
"219",217,"Felix Klaus","GER","W","Wolfsburg",28,1992,6,1,137,1.5,0,0,0,0,0,0,0,0,NA
